row_id,microbusiness_density
1001_2022-11-01,3.35749643206759
1001_2022-12-01,3.3589689396254414
1001_2023-01-01,3.3211373953739445
1001_2023-02-01,3.361521543493752
1001_2023-03-01,3.368907801738824
1001_2023-04-01,3.418496862281203
1001_2023-05-01,3.396775696285702
1001_2023-06-01,3.402202440621769
1003_2022-11-01,8.31334470438422
1003_2022-12-01,8.303207031848565
1003_2023-01-01,8.099921919453145
1003_2023-02-01,8.019589205822273
1003_2023-03-01,8.067298785327411
1003_2023-04-01,8.183340409845338
1003_2023-05-01,8.125299641164075
1003_2023-06-01,8.354987930424986
1005_2022-11-01,1.1991027798476568
1005_2022-12-01,1.1902667561179705
1005_2023-01-01,1.2373205223850852
1005_2023-02-01,1.221987260978049
1005_2023-03-01,1.212213907350957
1005_2023-04-01,1.234918080992528
1005_2023-05-01,1.2287264358953398
1005_2023-06-01,1.2041872226251689
1007_2022-11-01,1.3054680548134496
1007_2022-12-01,1.3013478840192114
1007_2023-01-01,1.3005614978750482
1007_2023-02-01,1.297433578109556
1007_2023-03-01,1.310566844498587
1007_2023-04-01,1.2981890702639305
1007_2023-05-01,1.2985324970563776
1007_2023-06-01,1.3054442246413225
1009_2022-11-01,1.8441831485018259
1009_2022-12-01,1.8365465486891885
1009_2023-01-01,1.8400434932212992
1009_2023-02-01,1.8655067626716269
1009_2023-03-01,1.8779047933363155
1009_2023-04-01,1.880645979219483
1009_2023-05-01,1.8860715942744868
1009_2023-06-01,1.8877214661699784
1011_2022-11-01,0.9888877264448905
1011_2022-12-01,1.0064828589248764
1011_2023-01-01,1.0124491470497514
1011_2023-02-01,0.9960357089293205
1011_2023-03-01,1.0274851912810061
1011_2023-04-01,1.023923530738918
1011_2023-05-01,0.9889122174272675
1011_2023-06-01,0.9980566805778193
1013_2022-11-01,2.2025866630252198
1013_2022-12-01,2.141530785558802
1013_2023-01-01,2.128387420512863
1013_2023-02-01,2.501320717592083
1013_2023-03-01,2.4411989112822097
1013_2023-04-01,2.310141742770518
1013_2023-05-01,2.314740606348265
1013_2023-06-01,2.31849859274407
1015_2022-11-01,2.8060569642316553
1015_2022-12-01,2.7969229931681094
1015_2023-01-01,2.786729868096856
1015_2023-02-01,2.731833911160815
1015_2023-03-01,2.732282413325432
1015_2023-04-01,2.7444151747589003
1015_2023-05-01,2.724706386420794
1015_2023-06-01,2.74822236403642
1017_2022-11-01,1.45043729181014
1017_2022-12-01,1.4473826248712471
1017_2023-01-01,1.45923795446588
1017_2023-02-01,1.4319668607734664
1017_2023-03-01,1.4305775985759848
1017_2023-04-01,1.4517425385279317
1017_2023-05-01,1.4548125436762205
1017_2023-06-01,1.4368745181460172
1019_2022-11-01,1.178087177743455
1019_2022-12-01,1.1802756380386932
1019_2023-01-01,1.1690267367558418
1019_2023-02-01,1.18392525896268
1019_2023-03-01,1.1497414819931802
1019_2023-04-01,1.1674019492134486
1019_2023-05-01,1.1727120206237078
1019_2023-06-01,1.1119865264124622
1021_2022-11-01,1.7573781130912967
1021_2022-12-01,1.759232243925551
1021_2023-01-01,1.7420341147233342
1021_2023-02-01,1.8021462659866216
1021_2023-03-01,1.7915910382412543
1021_2023-04-01,1.8140992972082066
